Brand,Price,Color,Condition,GPU,Processor Speed,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Screen Size (inch),Ram Size
acer,103.3,other,Used,intel,2.16,windows,hdd,500,0,11.6,4
dell,2088,other,New,nvidia,4.7,windows,ssd,0,1000,15.6,16
dell,139,black,Used,intel,1.7,windows,ssd,0,512,13.3,16
hp,559,gold,New,intel,4.2,windows,hdd/ssd,2000,2000,14,64
hp,380,gray,Good - Refurbished,other,4,windows,ssd,0,256,15.6,8
lenovo,50,silver,Used,other,1.6,windows,hdd/ssd,2,32,14,2
acer,105.06,other,Used,other,1.6,windows,ssd,0,128,14,8
lenovo,175,black,Used,intel,1.6,windows,hdd/ssd,256,256,15.6,8
dell,200,black,Used,intel,2.4,windows,hdd/ssd,512,512,14,16
hp,285,silver,Used,intel,1.9,windows,ssd,0,256,14,16
microsoft,520,black,Used,other,1.8,windows,hdd/ssd,256,256,13,16
acer,79.1,other,Used,nvidia,2.3,windows,hdd,720,0,15.6,8
dell,230.2,other,Very Good - Refurbished,other,1.6,windows,ssd,0,256,14,8
lenovo,239,black,Used,amd,2,windows,hdd/ssd,512,512,14,32
